Name,City,Cuisine Style,Ranking,Rating,Number of Reviews
Kinnaree Thai Cuisine,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",133,4.5,512
Blue Amsterdam,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",134,4.5,508
Wilde Zwijnen,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",135,4.5,366
Wink,Amsterdam,"['Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",136,5,199
Mothers,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",137,4.5,1987
Pllek,Amsterdam,"['Dutch', 'Bar', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",138,4,714
Casa Nostra,Amsterdam,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",139,4.5,448
Pasta Pasta,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",140,4.5,1003
Hasta La Pasta,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options']",141,4.5,385
Bistrot des Alpes,Amsterdam,"['French', 'Swiss', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",142,5,136
Cafe Loetje,Amsterdam,"['Steakhouse', 'Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",143,4.5,1447
Bridges,Amsterdam,"['French', 'Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",144,4.5,961
Humphrey's,Amsterdam,"['Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",145,4.5,1410
La Casa De Michael,Amsterdam,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",146,4.5,230
Restaurant Floreyn,Amsterdam,"['Dutch', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",147,5,81
Restaurant Haesje Claes,Amsterdam,"['Dutch', 'International', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",148,4,3595
De Blauwe Hollander,Amsterdam,"['German', 'Scandinavian', 'Dutch']",149,4.5,1030
CT coffee & coconuts,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",150,4.5,603
La Luna Steakhouse Grill,Amsterdam,"['Steakhouse', 'Argentinean', 'South American', 'Grill', 'Gluten Free Options']",151,4.5,906
de Luwte,Amsterdam,"['Dutch', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",152,4.5,635
Het Karbeel,Amsterdam,"['Dutch', 'Swiss', 'European', 'Central European', 'Vegetarian Friendly']",153,4,809
Restaurant Bleu,Amsterdam,"['French', 'International', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options']",154,4.5,233
Lucius Seafood Restaurant,Amsterdam,"['Dutch', 'Seafood', 'European', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",155,4,1239
Villa Maria Restaurant-Amsterdam,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'European', 'Argentinean', 'South American', 'Vegetarian Friendly']",156,4.5,482
Restaurant Choux,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",157,4.5,221
The White Room,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options']",158,4.5,103
Kaagman en Kortekaas,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",159,4.5,147
Bird Thai Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",160,4,1641
Pressroom,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",161,4.5,175
Cafe Sonneveld,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",162,4,544
Cafe T Smalle,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",163,4.5,435
Sir Hummus,Amsterdam,"['Healthy', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",164,5,126
Restaurant d'Vijff Vlieghen,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",165,4,1340
Rakang,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",166,4.5,414
FEBO,Amsterdam,"['Dutch', 'Fast Food', 'European']",167,4,782
Gollem Craft Beers,Amsterdam,"['Bar', 'Pub']",168,4.5,136
Soup en Zo,Amsterdam,"['European', 'Soups', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",169,4.5,226
Greetje,Amsterdam,"['Dutch', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Gluten Free Options']",170,4.5,843
